CVE_ZM,ZM,CVE_MUN,MUN,POB,MC,CF,DIST_CC,PRM_TMUN,PRM_TMUNC,PRM_TOTROMUN,PEM_RMUN,PEM_TMUNC,PEM_ROTROMUN,PACNA,PACNPRIM,DMU,DZC-ZM,PZC-ZM,PNDUyOT,TIPO_MUN,AÑO
46,Zona metropolitana de Tlaxcala-Apizaco,29009,Cuaxomulco,5066,1,1,0,49.6,39.4,11,82.1,13,4.9,*,75.5,7.8,0,0,0,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29010,Chiautempan,66149,1,1,0,69.6,20.5,9.9,71,24.7,4.3,*,92.9,44.5,1,1,1,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,29015,Ixtacuixtla,35162,0,0,19.7,70.8,4.3,25,83.3,1.5,15.2,*,76.3,23.8,1,1,0,3,2010
34,Zona metropolitana de Puebla-Tlaxcala,29017,Mazatecochco,9740,1,1,0,85.7,9.2,5.1,92.2,3,4.7,*,82.6,53.4,1,1,1,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29018,Contla de Juan Cuamatzi,35084,1,1,0,61.3,30.8,7.9,85.2,13.9,1,*,91.7,31.9,0,1,0,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,29019,Tepetitla,18725,0,0,14.3,73.3,6.6,20.2,83.1,4.2,12.8,*,82.6,32.1,1,1,0,3,2010
34,Zona metropolitana de Puebla-Tlaxcala,29022,Acuamanala,5711,1,1,0,58.5,25.7,15.8,49.2,21.9,28.9,*,89.8,14.1,1,1,0,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,29023,Nativitas,23621,1,1,0,68.1,15.4,16.5,89,5.6,5.4,*,69.1,19,1,1,0,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29024,Panotla,25128,1,1,0,57,25.9,17,76.1,15.9,8.1,*,81,24.2,1,1,1,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,29025,San Pablo del Monte,69615,1,1,0,61.7,35.3,3,91.9,4.9,3.3,*,93.8,67.3,1,1,1,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29026,Santa Cruz Tlaxcala,17968,1,1,0,38.6,45.9,15.5,75.3,22.5,2.3,*,90.8,9.5,1,1,1,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,29027,Tenancingo,11763,1,1,0,64.8,31.8,3.4,84.7,14.3,0.9,*,83.3,32.5,1,1,1,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,29028,Teolocholco,21671,1,1,0,71.1,14.1,14.8,75.3,6.9,17.8,*,89.1,21.4,1,1,0,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,29029,Tepeyanco,11048,1,1,0,62.3,21.3,16.3,75.3,11.6,13,*,84.9,17.9,1,1,0,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29031,Tetla,28760,1,1,0,61.8,30.6,7.6,63.3,28.4,8.3,*,87.7,17.8,1,1,1,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,29032,Tetlatlahuca,12410,1,1,0,69,18.4,12.7,89.5,3.3,7.2,*,66.9,16.4,1,1,0,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29033,Tlaxcala,89795,1,1,0,75.1,13.2,11.7,53.5,28.5,18,*,97.2,40.1,1,1,1,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29035,Tocatlán,5589,1,1,0,58.3,30.6,11.1,81.3,16.2,2.4,*,75.2,11.2,0,0,0,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29036,Totolac,20625,1,1,0,46.8,38,15.2,83.6,15.3,1.2,*,97.5,37.6,1,1,1,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29038,Tzompantepec,14611,1,1,0,41.1,49.3,9.6,74.9,22,3,*,90.3,13.1,1,1,0,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29039,Xaloztoc,21769,1,1,0,71,22.6,6.4,76.5,16.7,6.7,*,83.7,24.5,1,0,0,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,29041,Papalotla de Xicohténcatl,26997,1,1,0,67.6,27.2,5.2,68.3,24,7.8,*,93.2,26.7,1,1,1,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,29042,Xicohtzinco,12255,1,1,0,60.7,31.1,8.2,74.7,22.3,3,*,92.6,28.1,1,1,1,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29043,Yauhquemecan,33081,1,1,0,55.8,34.7,9.5,83.6,13.7,2.7,*,94.9,27.4,1,1,1,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,29044,Zacatelco,38654,1,1,0,67.6,24.2,8.2,77.1,12.1,10.7,*,90.4,37.8,1,1,1,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29048,Tlaltelulco,16834,1,1,0,42.7,43.5,13.8,61.4,31.7,6.9,*,93.3,17,0,0,0,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29049,Texoloc,5064,1,1,0,57.9,26.7,15.5,90.9,6.5,2.7,*,75.3,24.1,0,0,0,1,2010
46,Zona metropolitana de Tlaxcala-Apizaco,29050,Tetlanohcan,9880,1,1,0,56.5,27.3,16.2,86.2,11.8,2,*,77.3,21.3,0,0,0,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,29051,Zacualpan,3581,1,1,0,61.5,21.1,17.4,85.8,9.3,4.9,*,78.1,18.6,1,1,0,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,29053,Huactzinco,6821,1,1,0,51.4,19.9,28.7,83.3,13.5,3.2,*,92.2,29.3,1,1,0,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,29054,Axocomanitla,5045,1,1,0,49.1,35,15.9,79.4,15.4,5.3,*,87.3,48.2,1,1,0,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,29056,Nopalucan,6857,0,0,13.1,54.1,6,39.9,56.9,6.4,36.7,*,79.3,19.3,0,1,0,3,2010
34,Zona metropolitana de Puebla-Tlaxcala,29057,Teacalco,4349,1,1,0,70.6,15.5,13.9,91.4,3.4,5.2,*,62.2,26.8,1,1,0,1,2010
34,Zona metropolitana de Puebla-Tlaxcala,29058,Ayometla,7992,1,1,0,55.4,34.2,10.4,77.7,15,7.3,*,84.7,17,1,1,1,1,2010
